Unnamed: 0,appVersion,at,content,kota,repliedAt,replyContent,reviewCreatedVersion,reviewId,score,thumbsUpCount,userImage,userName,sentiment,Confidence Score
10,5.1.1,15-11-24 14:54,Good,Jakarta Barat,15-11-24 15:12,"Hai Kak Rizaldy, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-24-320-1511-56411 di subjek email, ya. ^Maya",5.1.1,a46087b6-fa2b-4fdd-9db9-41425307b36f,1,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99983835
11,5.1.2,15-11-24 14:51,"Kalau malem suka ga dapet driver tuh ga usah di konfirmasi pesanan nya, sudah kebayar kepotong saldo malah makanan ga jelas status nya",Jakarta Utara,15-11-24 16:02,"Hai Kak Fahmi, kami akan sangat bersedih apabila kamu ingin menghapus akun Gojek-mu. Jika kamu memiliki kendala saat menggunakan aplikasi Gojek, silakan kunjungi halaman Bantuan di aplikasi Gojek-mu dulu dan cari artikel sesuai kendalamu di kolom pencarian, ya. Kami harap kamu menemukan solusinya. ^Maya",5.1.2,61cb3f37-8a4b-4a6a-8a5b-87fb26af8b07,1,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99984086
12,5.1.2,15-11-24 14:46,Bagus,Jakarta Utara,Unknown,Unknown,5.1.2,41e9ce5f-588b-47af-b4d7-5469fba732d3,4,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99984777
13,5.1.2,15-11-24 14:44,Unknown,Jakarta Utara,15-11-24 15:05,"Mohon maaf atas kendalanya, Kak Indi. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maya",5.1.2,de8d63bc-79d6-47f3-88c8-132d518e475e,1,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,netral,0.9949208
14,5.1.1,15-11-24 14:38,Mantap,Jakarta Timur,Unknown,Unknown,5.1.1,4dbe01ae-567f-4d62-9afa-8bb404e58ceb,4,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99984944
15,5.1.2,15-11-24 14:33,"Okelah, banyak promo.",Jakarta Selatan,Unknown,Unknown,5.1.2,69635a45-39fa-4b52-ba5d-1085fb7935ed,4,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99985075
16,5.1.1,15-11-24 14:18,Mantappp,Jakarta Utara,Unknown,Unknown,5.1.1,23be0cee-2374-4b0c-a2c0-d12fc27fc15b,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,netral,0.999648
17,5.0.1,15-11-24 14:14,No comment,Jakarta Utara,Unknown,Unknown,5.0.1,d5045204-b116-4cbc-81a5-2d344821e89d,5,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,netral,0.9996159
18,5.1.1,15-11-24 14:12,Iklan nya mek,Jakarta Timur,Unknown,Unknown,5.1.1,9843ad19-8ea7-4810-a38f-f54c55914065,1,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,netral,0.99738914
19,4.99.1,15-11-24 14:11,GO-MART makanan nya udah pada abis stock gak di update di kurangin harga malah naik voucher gak ke pake udah tau pas duit nya bikin kerjaan org ngerugiin customer begini.,Jakarta Pusat,15-11-24 14:49,"Mohon maaf atas kendalanya, Kak Julian. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maya",4.99.1,cb95b59b-5521-4a83-9ed7-124be23baa69,3,0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Pengguna Google,positif,0.99650323
